Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),US ($mill)
Wednesday,Peter Jackson,action,The Lord of the Rings: The Two Towers,18/12/2002,New Line Cinema,"1,224.10",94,926,8.7,4.1,179,342.6
Wednesday,Roland Emmerich,action,Independence Day,03/07/1996,Fox,"1,238.90",75,817.4,6.9,3.4,145,306.2
Friday,Shane Black,action,Iron Man 3,03/05/2013,Buena Vista Studios,"1,240.70",200,"1,215.40",7.3,3.68,130,409
Friday,Colin Trevorrow,action,Jurassic World,12/06/2015,Universal,"1,245.90",215,"1,245.90",7.5,3.45,124,500.4
Friday,Gore Verbinski,action,Pirates of the Caribbean: Dead Man's Chest,07/07/2006,Buena Vista Studios,"1,257.70",225,"1,066.20",7.3,3.47,151,423.3
Friday,"Chris Buck, Jennifer Lee",animation,Frozen,22/11/2013,Buena Vista Studios,"1,300.70",150,"1,274.20",7.7,3.71,102,400.7
Friday,Chris Columbus,adventure,Harry Potter and the Sorcerer's Stone,16/11/2001,WB,"1,308.90",125,974.8,7.5,3.62,152,317.6
Friday,Joss Whedon,action,Avengers: Age of Ultron,01/05/2015,Buena Vista Studios,"1,371.60",250,"1,371.60",7.9,3.75,141,452.5
Wednesday,Francis Ford Coppola,crime,The Godfather,15/03/1972,Paramount Pictures,"1,394.40",7,245.1,9.2,4.36,175,135
Friday,David Yates,fantasy,Harry Potter and the Deathly Hallows Part 2,15/07/2011,WB,"1,418.20",125,"1,341.50",8.1,3.96,130,381
Friday,Randal Kleiser,musical,Grease,16/06/1978,Paramount Pictures,"1,440.70",6,395,7.2,3.31,110,188.8
Wednesday,Peter Jackson,fantasy,The Lord of the Rings: The Return of the King,17/12/2003,New Line Cinema,"1,447.40",94,"1,119.90",8.9,4.14,201,377.8
Wednesday,George Lucas,sci-fi,Star Wars: Episode I - The Phantom Menace,19/05/1999,Fox,"1,465.90",115,"1,027",6.6,3.1,136,474.5
Friday,James Wan,action,Furious 7,03/04/2015,Universal,"1,511.60",190,"1,511.60",7.6,3.34,137,351
Wednesday,Irvin Kershner,sci-fi,The Empire Strikes Back,21/05/1980,Fox,"1,553.80",23,538.4,8.8,4.18,124,290.5
Friday,Joss Whedon,action,Marvel's The Avengers,04/05/2012,Buena Vista Studios,"1,572.90",220,"1,518.60",8.2,3.95,143,623.4
Wednesday,"Roger Allers, Rob Minkoff",animation,The Lion King,15/06/1994,Buena Vista Studios,"1,584.60",79.3,987.5,8.5,3.78,89,422.8
Friday,Steven Spielberg,adventure,Jurassic Park,11/06/1993,Universal,"1,693.80",63,"1,029.20",8.1,3.66,127,402.5
Wednesday,"Wolfgang Reitherman, Clyde Geronimi, Hamilton Luske",animation,101 Dalmatians,25/01/1961,Disney,"1,717.10",75,215.9,6.4,3.42,79,144.9
Friday,Steven Spielberg,adventure,E.T.: The Extra-Terrestrial,11/06/1982,Universal,"1,953.90",10.5,792.9,7.9,3.76,115,435.1
Friday,Steven Spielberg,thriller,Jaws,20/06/1975,Universal,"2,080.60",12,470.7,8.1,3.81,124,260
Tuesday,Richard Fleischer,adventure,Doctor Dolittle,19/12/1967,Fox,"2,096.80",70.5,294.5,5.3,3.01,152,144.2
Wednesday,William Friedkin,horror,The Exorcist,26/12/1973,WB,"2,363.60",12,441.3,6.9,3.39,122,232.9
Wednesday,George Lucas,action,Star Wars,25/05/1977,Fox,"3,042.80",11,775.4,8.7,4.19,121,461
Friday,James Cameron,sci-fi,Avatar,18/12/2009,Fox,"3,090.40",237,"2,788",7.9,3.78,162,760.5
Wednesday,James Cameron,drama,Titanic,17/12/1997,Paramount Pictures,"3,240.10",200,"2,186.80",7.7,3.38,194,658.7
Friday,"George Cukor, Victor Fleming, Sam Wood",drama,Gone with the Wind,15/12/1939,MGM,"6,846.70",3.9,400.2,8.2,3.83,238,198.7
